%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
43732829999,41,43732829999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
43903900000,42,43903900000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
43991030000,43,43991030000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44098190000,44,44098190000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44213110000,45,44213110000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44325499999,46,44325499999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44441189999,47,44441189999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44564849999,48,44564849999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44689430000,49,44689430000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44855800000,50,44855800000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
44953440000,51,44953440000,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
45069369999,52,45069369999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
45182999999,53,45182999999,left_cam,480,720,radial-tangential,0.0,0.0,0.0,0.0,415.692193817,0.0,360.0,0.0,415.692193817,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,415.692193817,0.0,360.0,0.0,0.0,415.692193817,240.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
